polymer_type,natural_fiber,fiber_percentage,molecular_weight,moisture_content,ph,temperature,density,tensile_strength,elastic_modulus,flexural_strength,impact_strength,degradation_time,weight_loss,water_absorption,biodegradation_rate
PCL,Flax,14.527010965279532,349410.92906139896,5.622265983260915,5.038759442095501,25.40209016714553,1.183,102.49,5.68,130.5,11.17,456.5,49.95,19.55,0.093
PLGA,Rice Husk,20.711574386569765,293575.23032333184,15.797964125257792,6.553093638605814,47.113339606020844,1.367,64.21,5.79,89.68,10.53,333.2,60.99,34.38,0.224
Starch,Kenaf,52.56218456507087,140028.89723511116,6.721239690666907,4.855217095340528,23.647162863426296,1.563,93.79,8.23,135.08,11.53,285.1,70.82,36.25,0.257
PHA,Flax,53.68156264992053,166385.52713257994,13.860593063154804,6.732504694935982,47.12148432315219,1.396,119.47,7.91,166.72,13.07,225.4,84.85,45.12,0.453
Gelatin,Coir,7.471449884899943,112941.1267544603,12.387381616150137,6.26846243363633,39.077729471653896,1.301,34.01,3.3,43.65,5.59,309.2,67.1,23.64,0.263
Alginate,Jute,14.244982194413641,275476.6595775997,10.769428651917758,5.558792093217408,47.60371191881653,1.468,74.16,5.46,94.42,9.46,344.9,63.89,25.16,0.237
Starch,Banana Fiber,11.460956715007246,151832.6303864877,8.377611566992673,7.912322156720869,44.42917618676835,1.431,53.97,4.68,69.87,6.47,327.9,63.53,21.04,0.217
Chitosan,Sisal,14.883120205821665,271659.3631422514,12.573232711935784,6.027157908096758,45.9585038067969,1.405,74.72,5.57,98.15,9.55,346.4,61.54,29.0,0.201
PCL,Banana Fiber,58.36032483684499,35888.49749765778,8.220092778578167,7.299268312552335,35.73148711502894,1.31,62.91,7.68,98.9,11.11,215.8,87.12,42.2,0.456
Collagen,Sisal,35.341038683475105,73398.70704147064,10.543653866400776,7.662730671634752,44.758949150457454,1.44,63.95,5.88,90.22,8.54,246.9,77.79,33.99,0.394
PGA,Kenaf,30.746181475020975,146791.78710482194,11.231728657793488,5.2145116016751345,33.81583280447744,1.631,70.84,6.38,101.66,9.15,290.5,68.47,31.72,0.294
PCL,Banana Fiber,59.145705520093884,64850.73068626967,5.911361130612546,4.976454011494605,21.325187811076134,1.324,70.04,8.19,110.27,11.65,254.8,77.38,39.18,0.364
Gelatin,Sisal,35.63258714234045,222360.95753479705,7.105651875538932,4.53134069245144,39.54074849260446,1.348,95.54,6.97,133.03,11.31,313.7,64.28,31.12,0.267
Gelatin,Banana Fiber,41.36148600400385,46266.271530919454,1.7978260487037518,5.723231556798394,41.85359647130292,1.432,61.88,6.47,91.79,8.58,261.2,76.5,26.45,0.366
Alginate,Flax,23.30238003270491,305124.15826858976,15.560623391013939,7.763822729671444,23.046461825349592,1.468,96.24,6.69,125.71,11.43,389.4,54.48,35.74,0.174
Chitosan,Nanocellulose,26.016317548023522,273618.55960191437,13.973721880960474,7.591063314744065,44.47720864458215,1.422,114.24,6.39,149.83,10.81,323.8,64.73,34.86,0.222
PLGA,Sisal,37.69251610949902,99202.07335294478,4.528252479498219,7.987223764389592,22.25521348781415,1.427,78.69,6.83,111.02,9.84,328.5,62.78,28.81,0.197
Alginate,Kenaf,8.838218120025562,184813.4099615097,7.473799425141218,7.5424008129865125,33.248423552227905,1.39,61.25,4.4,80.71,7.11,382.8,56.64,20.24,0.169
Alginate,Sisal,19.073558732462633,174580.18509149458,8.44764646964897,4.595966293820248,34.63771157484183,1.473,70.2,5.38,92.65,8.16,326.5,63.4,22.76,0.227
PGA,Sisal,15.824646220316891,261956.67690892087,7.017248418001453,6.0420705557681895,21.102707272241837,1.597,83.49,6.11,110.08,8.87,424.2,51.06,20.81,0.128
PHBV,Wood Flour,5.874136622700198,158482.84815184286,14.67100630900048,4.523708907727525,21.974136679924786,1.273,40.78,3.45,50.78,6.33,349.4,61.39,27.01,0.217
Chitosan,Flax,34.52956987862321,40539.29530555063,13.469441650905507,4.644204055351726,33.51932494820055,1.462,70.06,5.59,98.78,8.41,220.8,88.83,37.0,0.452
PLLA,Coir,35.85790617381335,117595.47483194836,14.158119047329725,6.414234921796524,29.337730786180828,1.366,44.76,6.17,67.86,9.58,273.8,72.93,39.48,0.303
Alginate,Bamboo,26.11665726704924,179182.65767585346,16.418145840416827,5.940022175245035,44.477232962347856,1.486,55.23,5.94,75.97,9.08,266.5,74.48,37.63,0.307
HA,Nanocellulose,19.780010820563497,341837.50917140447,11.319995722356259,6.7340940369322695,32.41564428125701,1.079,110.53,5.89,145.26,12.15,403.3,55.43,28.83,0.177
PBS,Sisal,40.863293179704364,311970.7734253905,11.639816428962897,4.764643764499872,23.165812262070343,1.408,111.23,8.02,152.51,14.24,350.5,60.67,38.04,0.218
